,PRODUK,Category_clean
194,Gelama_papan__Johnius_Preudosciaena,Fish_shellfish_and_products
195,Bawal_hitam,Fish_shellfish_and_products
196,Sos_tiram,Fish_shellfish_and_products
197,Siakap,Fish_shellfish_and_products
198,Kaci,Fish_shellfish_and_products
199,Cincaru,Fish_shellfish_and_products
200,Talang,Fish_shellfish_and_products
201,Pucuk_tamban,Fish_shellfish_and_products
202,Selar_gelek__Selar_Atule,Fish_shellfish_and_products
203,Timah,Fish_shellfish_and_products
204,brand_K__Snek_sotong,Fish_shellfish_and_products
205,Udang_merah_ros,Fish_shellfish_and_products
206,Selayang,Fish_shellfish_and_products
207,Keropok_udang,Fish_shellfish_and_products
208,Haruan__Ophicephalus_Channa,Fish_shellfish_and_products
209,Selangat,Fish_shellfish_and_products
210,Kacang_kacang,Fish_shellfish_and_products
211,Udang_minyak,Fish_shellfish_and_products
212,Belacan,Fish_shellfish_and_products
213,Rambai,Fish_shellfish_and_products
214,Kurau,Fish_shellfish_and_products
215,Yu_pasir,Fish_shellfish_and_products
216,Beliak_mata,Fish_shellfish_and_products
217,Kurau_kering,Fish_shellfish_and_products
218,Jebong,Fish_shellfish_and_products
219,Keju_dalam_tin,Milk_and_milk_products
220,Mentega,Milk_and_milk_products
221,Merah,Fish_shellfish_and_products
222,Yogurt_berperisa_aprikot,Milk_and_milk_products
223,Selar_kuning,Fish_shellfish_and_products
224,Susu_UHT_penuh_krim_campuran,Milk_and_milk_products
225,Susu_pekat_manis,Milk_and_milk_products
226,Susu_tepung_bayi,Milk_and_milk_products
227,Susu_tepung_skim,Milk_and_milk_products
228,Susu_lembu_segar,Milk_and_milk_products
229,Susu_isian,Milk_and_milk_products
230,Minyak_sapi,Milk_and_milk_products
231,Wafer_coklat,Miscellaneous
232,Coklat_susu,Miscellaneous
233,Biskut_coklat,Miscellaneous
234,Buah_pelaga,Miscellaneous
235,Serbuk_minuman_berperisa_oren,Beverages
236,Jintan_manis,Miscellaneous
237,Minyak_sawit_mentah,Oils_and_fats
238,Serbuk_kopi_segera,Beverages
239,Tepung_susu_bermalt,Beverages
240,Vanaspati,Oils_and_fats
241,Minyak_jagung,Oils_and_fats
242,Minyak_zaitun,Oils_and_fats
243,Marjerin,Oils_and_fats
244,Karrupillay,Miscellaneous
245,Jintan_hitam,Miscellaneous
246,Garam,Miscellaneous
247,Ketumbar,Miscellaneous
248,Serbuk_lada_putih,Miscellaneous
249,Coklat_berkismis,Miscellaneous
250,Asam_Jawa,Miscellaneous
251,Serbuk_biji_sawi_dalam_tin,Miscellaneous
252,Butiran_coklat_bersusu,Miscellaneous
253,Putu_bambu,Cereal_based_dishes
254,Rawadosai,Cereal_based_dishes
255,Jeruk_halia,Miscellaneous
256,Lengkuas,Miscellaneous
257,Pati_ayam,Miscellaneous
258,Yis_biji_dalam_tin,Miscellaneous
259,proprietary_brand__Pati_yis,Miscellaneous
260,Dosai,Cereal_based_dishes
261,rice_noodle__fried_Kuih_teow_goreng,Cereal_based_dishes
262,Kuah_kacang_hijau_untuk_Capati,Cereal_based_dishes
263,Nasi_minyak,Cereal_based_dishes
264,Roti_telur,Cereal_based_dishes
265,rice_noodle__fried_Mee_hoon_goreng,Cereal_based_dishes
266,wheat_noodle__curry_Mee_kari,Cereal_based_dishes
267,wheat_noodle__soup_Mee_sup,Cereal_based_dishes
268,Daging_lembu_masak_merah,Meat_dishes
269,Nasi_lemak,Cereal_based_dishes
270,Ikan_tilapia_goreng_berlada,Fish_and_seafood_dishes
271,rice_only__Nasi_briyani_nasi_sahaja,Cereal_based_dishes
272,Satay_daging_lembu,Meat_dishes
273,Kari_daging_lembu,Meat_dishes
274,Kari_kambing,Meat_dishes
275,Perut_lembu_masak_lemak,Meat_dishes
276,Satay_ayam,Meat_dishes
277,Ayam_kurma,Meat_dishes
278,Ikan_bilis_sambal,Fish_and_seafood_dishes
279,Rendang_hati_lembu,Meat_dishes
280,Ikan_kembong_goreng_berlada,Fish_and_seafood_dishes
281,Ikan_cincaru_masak_cuka,Fish_and_seafood_dishes
282,Pengat_pisang_nangka,Miscellaneous_dishes
283,Ikan_bawal_hitam_goreng,Fish_and_seafood_dishes
284,Ikan_sembilang_goreng,Fish_and_seafood_dishes
285,Ikan_kembong_kari,Fish_and_seafood_dishes
286,Ikan_merah_masak_asam,Fish_and_seafood_dishes
287,Pengat_keledek_gula_merah,Miscellaneous_dishes
288,Ikan_kerisi_goreng_berlada,Fish_and_seafood_dishes
289,Ikan_tongkol_masak_lemak,Fish_and_seafood_dishes
290,Ikan_tenggiri_goreng_berlada,Fish_and_seafood_dishes
291,Daging_ayam_digoreng,Franchised_fastfoods_chicken
292,Ikan_haruan_kering_goreng,Fish_and_seafood_dishes
293,Bubur_kacang_merah,Miscellaneous_dishes
294,Ikan_merah_masak_lemak,Fish_and_seafood_dishes
295,Daging_ayam_bahagian_dada,Franchised_fastfoods_chicken
296,Rojak,Miscellaneous_dishes
297,Pengat_pisang_nipah,Miscellaneous_dishes
298,_Burger__keju,Franchised_fastfoods_burger
299,Piza_yang_mengandungi_daging_lembu_ayam_dll,Franchised_fastfoods_pizza
300,Hot_dog,Franchised_fastfoods_burger
301,Coney_dog,Franchised_fastfoods_burger
302,Ayam_goreng_berbagai_bahagian,Franchised_fastfoods_chicken
303,Salad,Franchised_fastfoods_chicken
304,Coleslaw,Franchised_fastfoods_chicken
305,Daging_ayam_bahagian__drumstick_,Franchised_fastfoods_chicken
306,Piza_yang_mengandungi_kari_ayam_dan_kacang,Franchised_fastfoods_pizza
307,Piza_yang_mengandungi_daging_lembu_salami_dll,Franchised_fastfoods_pizza
308,Spageti_yang_mengandungi_ayam_cendawan_dll,Franchised_fastfoods_spaghetti
309,Piza_yang_mengandungi_pepperoni_dll,Franchised_fastfoods_pizza
310,Piza_yang_mengandungi_udang_sotong___cendawan,Franchised_fastfoods_pizza
311,Piza_yang_mengandungi_kari_lembu_dan_kacang,Franchised_fastfoods_pizza
312,Sandwic_yang_mengandungi_ayam_salad_dll,Franchised_fastfoods_sandwich
313,Murtabak,Franchised_fastfoods_miscellaneous
314,Satay_daging_kambing,Franchised_fastfoods_satay
315,Spageti_yang_mengandungi_sayur_sayuran_sos_dll,Franchised_fastfoods_spaghetti
317,Soto_ayam,Franchised_fastfoods_miscellaneous
318,Sandwic_yang_mengandungi_pepperoni_salad_dll,Franchised_fastfoods_sandwich
319,Kuih_bakul,Traditional_Malaysian_kuih_rice_and_rice_flour_based
320,Kuih_karas,Traditional_Malaysian_kuih_rice_and_rice_flour_based
321,Kuih_buah_Melaka,Traditional_Malaysian_kuih_rice_and_rice_flour_based
322,Dodol,Traditional_Malaysian_kuih_rice_and_rice_flour_based
323,Sos_murtabak,Franchised_fastfoods_miscellaneous
324,Pulut_panggang_Pulut_udang,Traditional_Malaysian_kuih_rice_and_rice_flour_based
325,Bingka_tepung_beras,Traditional_Malaysian_kuih_rice_and_rice_flour_based
326,Rempeyek,Traditional_Malaysian_kuih_rice_and_rice_flour_based
327,Kuih_lopes_pulut,Traditional_Malaysian_kuih_rice_and_rice_flour_based
328,Kuih_tepung_pelita,Traditional_Malaysian_kuih_rice_and_rice_flour_based
329,Kuih_sri_muka,Traditional_Malaysian_kuih_rice_and_rice_flour_based
330,Kuih_lapis,Traditional_Malaysian_kuih_rice_and_rice_flour_based
331,Cucur_udang,Traditional_Malaysian_kuih_wheat_flour_based
332,Karipap_mini,Traditional_Malaysian_kuih_wheat_flour_based
333,Kuih_koci_pulut_hitam,Traditional_Malaysian_kuih_rice_and_rice_flour_based
334,Kek_swiss_roll,Traditional_Malaysian_kuih_wheat_flour_based
335,Tumpi,Traditional_Malaysian_kuih_rice_and_rice_flour_based
336,Baulu_cermai,Traditional_Malaysian_kuih_wheat_flour_based
337,Ham_chi_peng,Traditional_Malaysian_kuih_wheat_flour_based
338,Tapai_pulut,Traditional_Malaysian_kuih_rice_and_rice_flour_based
339,Kuih_pau_kacang_merah,Traditional_Malaysian_kuih_wheat_flour_based
340,Donat,Traditional_Malaysian_kuih_wheat_flour_based
341,Kuih_ketayap,Traditional_Malaysian_kuih_wheat_flour_based
342,Kuih_kapit,Traditional_Malaysian_kuih_wheat_flour_based
343,Kuih_apam_gula_hangus,Traditional_Malaysian_kuih_wheat_flour_based
344,Kuih_apam,Traditional_Malaysian_kuih_wheat_flour_based
345,Kuih_sagu,Traditional_Malaysian_kuih_miscellaneous
346,Kuih_kastard_jagung,Traditional_Malaysian_kuih_miscellaneous
347,Lengat_pisang,Traditional_Malaysian_kuih_miscellaneous
348,Kuih_bangkit_sagu,Traditional_Malaysian_kuih_miscellaneous
349,Pakoda,Traditional_Malaysian_kuih_miscellaneous
350,Lepat_ubi,Traditional_Malaysian_kuih_miscellaneous
351,Kuih_telur_labah,Traditional_Malaysian_kuih_miscellaneous
352,Kerepek_ubi_kayu,Traditional_Malaysian_kuih_miscellaneous
353,Cokodok_pisang,Traditional_Malaysian_kuih_miscellaneous
354,Emping_muda,Traditional_Malaysian_kuih_miscellaneous
355,Bingka_ubi_kayu,Traditional_Malaysian_kuih_miscellaneous
356,Sandwich_sardin,Traditional_Malaysian_kuih_wheat_flour_based
357,Popia,Traditional_Malaysian_kuih_miscellaneous
358,Kuih_lidah_kucing,Traditional_Malaysian_kuih_wheat_flour_based
359,Papadam,Traditional_Malaysian_kuih_miscellaneous
360,Puding_jagung,Traditional_Malaysian_kuih_miscellaneous
361,Vadai_kacang_dal_kuning,Traditional_Malaysian_kuih_miscellaneous
