,RM,,PREMIS,NAMA,LOKASI,NEGERI
AYAM BERSIH - STANDARD,5.39,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA ONG TAI KIM,SENTUL,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.50,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA SUPER SEVEN,JALAN LOKE YEW CHERAS,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.59,1 KG,PASAR RAYA / SUPERMARKET,NSK,SETAPAK,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.59,1 KG,PASAR RAYA / SUPERMARKET,NSK,JALAN KUCHAI LAMA,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.69,1 KG,PASAR RAYA / SUPERMARKET,ECONSAVE CASH & CARRY,JALAN KLANG LAMA,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.69,1 KG,PASAR RAYA / SUPERMARKET,ECONSAVE CASH & CARRY,DANAU KOTA,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.69,1 KG,HYPERMARKET,LULU HYPERMARKET,JLN MUNSHI ABDULLAH,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.69,1 KG,PASAR RAYA / SUPERMARKET,NSK,TAMAN MALURI CHERAS,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.70,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA SUPER SEVEN,TMN BUKIT ANGGERIK CHERAS,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.90,1 KG,PASAR RAYA / SUPERMARKET,UO SUPERSTORE,CHOW KIT,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.90,1 KG,HYPERMARKET,AEON BIG,KEPONG,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.90,1 KG,PASAR RAYA / SUPERMARKET,CHECKERS CASH & CARRY,BATU 3 1/2,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.99,1 KG,PASAR RAYA / SUPERMARKET,THE STORE,PUDU,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.99,1 KG,HYPERMARKET,TESCO EXTRA,TAMAN MIDAH CHERAS,KUALA LUMPUR
